id;order_id;order_status;customer_id
1;1;DELIVERED;1
2;2;CANCELED;1
3;3;PENDING;1
4;4;DELIVERED;1
5;5;CANCELED;1
6;6;PENDING;1
7;7;DELIVERED;1
8;8;CANCELED;1
9;9;PENDING;1
10;10;DELIVERED;1
11;11;CANCELED;1
12;12;PENDING;1
13;13;DELIVERED;1
14;14;CANCELED;1
15;15;PENDING;1
16;16;DELIVERED;1
17;17;CANCELED;1
18;18;PENDING;1
19;19;DELIVERED;1
20;20;CANCELED;1
21;21;PENDING;1
22;22;DELIVERED;1
23;23;CANCELED;1
24;24;PENDING;1
25;25;DELIVERED;1
26;26;CANCELED;1
27;27;PENDING;1
28;28;DELIVERED;1
29;29;CANCELED;1
30;30;PENDING;1
31;31;DELIVERED;1
32;32;CANCELED;1
33;33;PENDING;1
34;34;DELIVERED;1
35;35;CANCELED;1
36;36;PENDING;1
37;37;DELIVERED;1
38;38;CANCELED;1
39;39;PENDING;1
40;40;DELIVERED;1
41;41;CANCELED;1
42;42;PENDING;1
43;43;DELIVERED;1
44;44;CANCELED;1
45;45;PENDING;1
46;46;DELIVERED;1
47;47;CANCELED;1
48;48;PENDING;1
49;49;DELIVERED;1
50;50;CANCELED;1
