id;product_id;quantity;order_id
1;1;2;1
2;2;3;2
3;3;1;3
4;4;5;4
5;5;2;5
6;6;3;6
7;7;1;7
8;8;2;8
9;9;3;9
10;10;1;10
11;11;2;1
12;12;3;2
13;13;1;3
14;14;2;4
15;15;3;5
16;16;1;6
17;17;2;7
18;18;3;8
19;19;1;9
20;20;2;10
21;1;1;1
22;2;2;2
23;3;3;3
24;4;1;4
25;5;2;5
26;6;3;6
27;7;1;7
28;8;2;8
29;9;3;9
30;10;1;10
31;11;3;1
32;12;1;2
33;13;2;3
34;14;3;4
35;15;1;5
36;16;2;6
37;17;3;7
38;18;1;8
39;19;2;9
40;20;3;10
41;1;1;1
42;2;2;2
43;3;3;3
44;4;1;4
45;5;2;5
46;6;3;6
47;7;1;7
48;8;2;8
49;9;3;9
50;10;1;10
